fx_acidity,vol_acidity,citric_acid,resid_sugar,chlorides,free_sulf_d,tot_sulf_d,density,pH,sulph,alcohol,class
0.2477876106,0.397260274,0,0.0684931507,0.1068447412,0.1408450704,0.0989399293,0.5675477239,0.6062992126,0.1377245509,0.1538461538,Low
0.2831858407,0.5205479452,0,0.1164383562,0.143572621,0.338028169,0.2155477032,0.4941262849,0.3622047244,0.2095808383,0.2153846154,Low
0.2831858407,0.4383561644,0.04,0.095890411,0.1335559265,0.1971830986,0.1696113074,0.5088105727,0.4094488189,0.1916167665,0.2153846154,Low
0.5840707965,0.1095890411,0.56,0.0684931507,0.1051752922,0.2253521127,0.1908127208,0.5822320117,0.3307086614,0.1497005988,0.2153846154,High
0.2477876106,0.397260274,0,0.0684931507,0.1068447412,0.1408450704,0.0989399293,0.5675477239,0.6062992126,0.1377245509,0.1538461538,Low
0.2477876106,0.3698630137,0,0.0616438356,0.1051752922,0.1690140845,0.1201413428,0.5675477239,0.6062992126,0.1377245509,0.1538461538,Low
0.2920353982,0.3287671233,0.06,0.0479452055,0.0951585977,0.1971830986,0.1872791519,0.4647577093,0.4409448819,0.0778443114,0.1538461538,Low
0.2389380531,0.3630136986,0,0.0205479452,0.0884808013,0.1971830986,0.0530035336,0.3325991189,0.5118110236,0.0838323353,0.2461538462,High
0.2831858407,0.3150684932,0.02,0.0753424658,0.101836394,0.1126760563,0.0424028269,0.4941262849,0.4881889764,0.1437125749,0.1692307692,High
0.2566371681,0.2602739726,0.36,0.3561643836,0.0984974958,0.2253521127,0.3392226148,0.5675477239,0.4803149606,0.2814371257,0.3230769231,Low
0.185840708,0.3150684932,0.08,0.0616438356,0.141903172,0.1971830986,0.2084805654,0.4280469897,0.4251968504,0.125748503,0.1230769231,Low
0.2566371681,0.2602739726,0.36,0.3561643836,0.0984974958,0.2253521127,0.3392226148,0.5675477239,0.4803149606,0.2814371257,0.3230769231,Low
0.0884955752,0.3390410959,0,0.0479452055,0.1285475793,0.2112676056,0.1872791519,0.3105726872,0.6614173228,0.1137724551,0.2307692308,Low
0.2831858407,0.3356164384,0.29,0.0479452055,0.1702838063,0.1126760563,0.0812720848,0.5381791483,0.4094488189,0.7365269461,0.1076923077,Low
0.3805309735,0.3424657534,0.18,0.198630137,0.2737896494,0.7183098592,0.4911660777,0.6262848752,0.3307086614,0.3293413174,0.1230769231,Low
0.3805309735,0.3424657534,0.19,0.2054794521,0.2637729549,0.7042253521,0.5017667845,0.6262848752,0.3385826772,0.3592814371,0.1230769231,Low
