,Cluster,Row ID
0,6,0
1,6,1
2,6,2
0,5,3
3,6,4
4,6,5
5,6,6
6,6,7
7,6,8
0,2,9
8,6,10
1,2,11
0,1,12
9,6,13
0,3,14
1,3,15
0,4,16
10,6,17
11,6,18
1,5,19
1,4,20
1,1,21
12,6,22
13,6,23
2,1,24
3,1,25
14,6,26
15,6,27
16,6,28
17,6,29
4,1,30
5,1,31
18,6,32
2,3,33
6,1,34
19,6,35
20,6,36
7,1,37
21,6,38
2,2,39
3,2,40
8,1,41
22,6,42
23,6,43
24,6,44
9,1,45
10,1,46
2,4,47
11,1,48
12,1,49
25,6,50
26,6,51
27,6,52
3,3,53
4,3,54
5,3,55
4,2,56
6,3,57
13,1,58
14,1,59
15,1,60
16,1,61
17,1,62
28,6,63
29,6,64
30,6,65
31,6,66
32,6,67
2,5,68
33,6,69
34,6,70
18,1,71
19,1,72
20,1,73
3,4,74
4,4,75
5,4,76
35,6,77
21,1,78
7,3,79
22,1,80
6,4,81
23,1,82
36,6,83
24,1,84
25,1,85
5,2,86
26,1,87
3,5,88
37,6,89
8,3,90
6,2,91
7,2,92
27,1,93
9,3,94
28,1,95
38,6,96
39,6,97
40,6,98
41,6,99
29,1,100
30,1,101
42,6,102
31,1,103
32,1,104
33,1,105
7,4,106
34,1,107
8,4,108
10,3,109
43,6,110
44,6,111
45,6,112
4,5,113
46,6,114
5,5,115
35,1,116
47,6,117
48,6,118
11,3,119
49,6,120
50,6,121
51,6,122
52,6,123
36,1,124
12,3,125
53,6,126
54,6,127
55,6,128
37,1,129
9,4,130
38,1,131
39,1,132
56,6,133
57,6,134
58,6,135
59,6,136
40,1,137
41,1,138
42,1,139
60,6,140
61,6,141
13,3,142
62,6,143
14,3,144
43,1,145
15,3,146
44,1,147
45,1,148
10,4,149
11,4,150
8,2,151
16,3,152
17,3,153
18,3,154
19,3,155
20,3,156
21,3,157
63,6,158
46,1,159
64,6,160
65,6,161
66,6,162
22,3,163
23,3,164
47,1,165
48,1,166
67,6,167
49,1,168
68,6,169
69,6,170
70,6,171
71,6,172
50,1,173
51,1,174
24,3,175
52,1,176
12,4,177
72,6,178
73,6,179
74,6,180
6,5,181
75,6,182
53,1,183
54,1,184
13,4,185
14,4,186
76,6,187
55,1,188
56,1,189
57,1,190
58,1,191
25,3,192
77,6,193
78,6,194
59,1,195
60,1,196
7,5,197
61,1,198
79,6,199
8,5,200
26,3,201
62,1,202
63,1,203
64,1,204
9,5,205
10,5,206
65,1,207
66,1,208
15,4,209
9,2,210
67,1,211
