,Cluster,Row ID
0,6,0
1,6,1
2,6,2
0,1,3
3,6,4
4,6,5
5,6,6
6,6,7
7,6,8
0,4,9
8,6,10
1,4,11
9,6,12
2,4,13
10,6,14
11,6,15
0,5,16
3,4,17
12,6,18
4,4,19
1,5,20
2,5,21
5,4,22
13,6,23
14,6,24
15,6,25
6,4,26
7,4,27
16,6,28
17,6,29
18,6,30
19,6,31
20,6,32
21,6,33
22,6,34
23,6,35
8,4,36
9,4,37
24,6,38
10,4,39
11,4,40
25,6,41
12,4,42
13,4,43
26,6,44
14,4,45
27,6,46
15,4,47
16,4,48
28,6,49
29,6,50
30,6,51
31,6,52
32,6,53
33,6,54
34,6,55
0,3,56
0,2,57
35,6,58
17,4,59
18,4,60
36,6,61
37,6,62
38,6,63
39,6,64
40,6,65
41,6,66
42,6,67
1,1,68
19,4,69
43,6,70
44,6,71
45,6,72
46,6,73
2,1,74
20,4,75
21,4,76
47,6,77
48,6,78
49,6,79
50,6,80
1,3,81
51,6,82
52,6,83
22,4,84
53,6,85
2,3,86
23,4,87
3,1,88
54,6,89
55,6,90
3,3,91
4,3,92
24,4,93
1,2,94
2,2,95
56,6,96
57,6,97
58,6,98
59,6,99
60,6,100
25,4,101
61,6,102
62,6,103
63,6,104
64,6,105
5,3,106
65,6,107
26,4,108
66,6,109
27,4,110
67,6,111
68,6,112
4,1,113
28,4,114
29,4,115
69,6,116
70,6,117
71,6,118
72,6,119
73,6,120
74,6,121
75,6,122
76,6,123
77,6,124
78,6,125
79,6,126
80,6,127
30,4,128
31,4,129
81,6,130
3,2,131
4,2,132
82,6,133
83,6,134
84,6,135
85,6,136
32,4,137
86,6,138
87,6,139
88,6,140
89,6,141
5,2,142
33,4,143
6,2,144
90,6,145
91,6,146
92,6,147
93,6,148
34,4,149
35,4,150
5,1,151
94,6,152
95,6,153
3,5,154
4,5,155
5,5,156
6,5,157
96,6,158
97,6,159
98,6,160
99,6,161
100,6,162
101,6,163
102,6,164
103,6,165
104,6,166
105,6,167
106,6,168
6,3,169
107,6,170
36,4,171
37,4,172
108,6,173
109,6,174
110,6,175
111,6,176
38,4,177
112,6,178
113,6,179
114,6,180
6,1,181
115,6,182
116,6,183
117,6,184
7,5,185
118,6,186
119,6,187
120,6,188
121,6,189
122,6,190
39,4,191
123,6,192
124,6,193
125,6,194
126,6,195
127,6,196
7,3,197
7,2,198
128,6,199
40,4,200
7,1,201
129,6,202
130,6,203
131,6,204
8,1,205
9,1,206
132,6,207
133,6,208
8,3,209
9,3,210
134,6,211
